vuln_id,whitelist,package,version_local,version_local_regex,version_nixpkgs,version_upstream,comment,review_comment
CVE-2023-3640,False,linux,,(?:6\.18\.48|6\.18\.49),,,,CVE-2023-3640: Linux CNA: no version-specific 6.18 fix recorded. NVD: linux_kernel: no numeric bound. Unresolved: Ubuntu upstream status is needs-triage. No confirmed fix or host-wide exclusion; keep visible. https://git.launchpad.net/ubuntu-cve-tracker/plain/active/CVE-2023-3640
CVE-2023-6238,False,linux,,(?:6\.18\.48|6\.18\.49),,,,CVE-2023-6238: Linux CNA: no version-specific 6.18 fix recorded. NVD: linux_kernel: no numeric bound. Unresolved: Ubuntu upstream status is needed. No confirmed fix or host-wide exclusion; keep visible. https://git.launchpad.net/ubuntu-cve-tracker/plain/active/CVE-2023-6238
CVE-2023-6240,False,linux,,(?:6\.18\.48|6\.18\.49),,,,CVE-2023-6240: Linux CNA: no version-specific 6.18 fix recorded. NVD: linux_kernel: no numeric bound. Unresolved: Ubuntu upstream status is needs-triage. No confirmed fix or host-wide exclusion; keep visible. https://git.launchpad.net/ubuntu-cve-tracker/plain/active/CVE-2023-6240
CVE-2025-71074,False,linux,,(?:6\.18\.48|6\.18\.49),,,,"CVE-2025-71074: Linux CNA: 0 to <2.6.35 (unaffected); 6.19 to <=* (unaffected). Files: drivers/usb/gadget/function/f_fs.c. NVD: linux_kernel: >= 2.6.35.1, < 6.19; linux_kernel: 2.6.35; linux_kernel: 6.19. No confirmed fix for this CVE on the scanned 6.18 branch. A fix on a newer mainline branch alone does not establish safety here. https://www.cve.org/CVERecord?id=CVE-2025-71074"
CVE-2025-71306,False,linux,,(?:6\.18\.48|6\.18\.49),,,,"CVE-2025-71306: Linux CNA: 6.19.4 to <=6.19.* (unaffected); 7.0 to <=* (unaffected). Files: security/integrity/ima/ima.h, security/integrity/ima/ima_appraise.c, security/integrity/ima/ima_main.c. NVD: linux_kernel: >= 6.14, < 6.19.4. No confirmed fix for this CVE on the scanned 6.18 branch. A fix on a newer mainline branch alone does not establish safety here. https://www.cve.org/CVERecord?id=CVE-2025-71306"
CVE-2025-71308,False,linux,,(?:6\.18\.48|6\.18\.49),,,,"CVE-2025-71308: Linux CNA: 6.19.4 to <=6.19.* (unaffected); 7.0 to <=* (unaffected). Files: drivers/accel/amdxdna/aie2_message.c. NVD: linux_kernel: >= 6.14, < 6.19.4. No confirmed fix for this CVE on the scanned 6.18 branch. A fix on a newer mainline branch alone does not establish safety here. https://www.cve.org/CVERecord?id=CVE-2025-71308"
CVE-2025-71313,False,linux,,(?:6\.18\.48|6\.18\.49),,,,"CVE-2025-71313: Linux CNA: 6.19.4 to <=6.19.* (unaffected); 7.0 to <=* (unaffected). Files: drivers/pci/endpoint/functions/pci-epf-ntb.c, drivers/pci/endpoint/functions/pci-epf-vntb.c. NVD: linux_kernel: >= 5.12, < 6.19.4. No confirmed fix for this CVE on the scanned 6.18 branch. A fix on a newer mainline branch alone does not establish safety here. https://www.cve.org/CVERecord?id=CVE-2025-71313"
CVE-2026-23328,False,linux,,(?:6\.18\.48|6\.18\.49),,,,"CVE-2026-23328: Linux CNA: 6.19.7 to <=6.19.* (unaffected); 7.0 to <=* (unaffected). Files: drivers/accel/amdxdna/aie2_message.c, drivers/accel/amdxdna/aie2_pci.c, drivers/accel/amdxdna/aie2_pci.h. NVD: linux_kernel: >= 6.14.1, < 6.19.7; linux_kernel: 6.14; linux_kernel: 7.0. No confirmed fix for this CVE on the scanned 6.18 branch. A fix on a newer mainline branch alone does not establish safety here. https://www.cve.org/CVERecord?id=CVE-2026-23328"
CVE-2026-23374,False,linux,,(?:6\.18\.48|6\.18\.49),,,,"CVE-2026-23374: Linux CNA: 6.19.7 to <=6.19.* (unaffected); 7.0 to <=* (unaffected). Files: kernel/trace/blktrace.c. NVD: linux_kernel: >= 3.8.1, < 6.12.82; linux_kernel: >= 6.13, < 6.19.7; linux_kernel: 3.8 (additional branches in record). No confirmed fix for this CVE on the scanned 6.18 branch. A fix on a newer mainline branch alone does not establish safety here. https://www.cve.org/CVERecord?id=CVE-2026-23374"
CVE-2026-23377,False,linux,,(?:6\.18\.48|6\.18\.49),,,,"CVE-2026-23377: Linux CNA: 6.19.7 to <=6.19.* (unaffected); 7.0 to <=* (unaffected). Files: drivers/net/ethernet/intel/ice/ice_base.c. NVD: linux_kernel: >= 6.3, < 6.19.7; linux_kernel: 7.0. No confirmed fix for this CVE on the scanned 6.18 branch. A fix on a newer mainline branch alone does not establish safety here. https://www.cve.org/CVERecord?id=CVE-2026-23377"
CVE-2026-23459,False,linux,,(?:6\.18\.48|6\.18\.49),,,,"CVE-2026-23459: Linux CNA: 6.19.10 to <=6.19.* (unaffected); 7.0 to <=* (unaffected). Files: include/linux/netdevice.h, include/net/ip_tunnels.h. NVD: linux_kernel: >= 6.14, < 6.19.10; linux_kernel: 7.0. No confirmed fix for this CVE on the scanned 6.18 branch. A fix on a newer mainline branch alone does not establish safety here. https://www.cve.org/CVERecord?id=CVE-2026-23459"
CVE-2026-31501,False,linux,,(?:6\.18\.48|6\.18\.49),,,,"CVE-2026-31501: Linux CNA: 6.19.11 to <=6.19.* (unaffected); 7.0 to <=* (unaffected). Files: drivers/net/ethernet/ti/icssg/icssg_common.c. NVD: linux_kernel: >= 6.15.1, < 6.19.11; linux_kernel: 6.15; linux_kernel: 7.0. No confirmed fix for this CVE on the scanned 6.18 branch. A fix on a newer mainline branch alone does not establish safety here. https://www.cve.org/CVERecord?id=CVE-2026-31501"
CVE-2026-31771,False,linux,,(?:6\.18\.48|6\.18\.49),,,,"CVE-2026-31771: Linux CNA: 6.19.12 to <=6.19.* (unaffected); 7.0 to <=* (unaffected). Files: net/bluetooth/hci_event.c. NVD: linux_kernel: >= 5.10, < 6.19.12; linux_kernel: 7.0. No confirmed fix for this CVE on the scanned 6.18 branch. A fix on a newer mainline branch alone does not establish safety here. https://www.cve.org/CVERecord?id=CVE-2026-31771"
CVE-2026-31777,False,linux,,(?:6\.18\.48|6\.18\.49),,,,"CVE-2026-31777: Linux CNA: 6.19.12 to <=6.19.* (unaffected); 7.0 to <=* (unaffected). Files: sound/pci/ctxfi/ctdaio.c. NVD: linux_kernel: >= 2.6.31, < 6.19.12; linux_kernel: 7.0. No confirmed fix for this CVE on the scanned 6.18 branch. A fix on a newer mainline branch alone does not establish safety here. https://www.cve.org/CVERecord?id=CVE-2026-31777"
CVE-2026-43009,False,linux,,(?:6\.18\.48|6\.18\.49),,,,"CVE-2026-43009: Linux CNA: 6.19.12 to <=6.19.* (unaffected); 7.0 to <=* (unaffected). Files: kernel/bpf/verifier.c. NVD: linux_kernel: >= 5.12, < 6.19.12; linux_kernel: 7.0. No confirmed fix for this CVE on the scanned 6.18 branch. A fix on a newer mainline branch alone does not establish safety here. https://www.cve.org/CVERecord?id=CVE-2026-43009"
CVE-2026-43022,False,linux,,(?:6\.18\.48|6\.18\.49),,,,"CVE-2026-43022: Linux CNA: 6.19.12 to <=6.19.* (unaffected); 7.0 to <=* (unaffected). Files: net/bluetooth/hci_sync.c. NVD: linux_kernel: >= 6.9, < 6.19.12; linux_kernel: 6.1.120; linux_kernel: 6.6.51 (additional branches in record). No confirmed fix for this CVE on the scanned 6.18 branch. A fix on a newer mainline branch alone does not establish safety here. https://www.cve.org/CVERecord?id=CVE-2026-43022"
CVE-2026-43042,False,linux,,(?:6\.18\.48|6\.18\.49),,,,"CVE-2026-43042: Linux CNA: 6.19.12 to <=6.19.* (unaffected); 7.0 to <=* (unaffected). Files: include/net/netns/mpls.h, net/mpls/af_mpls.c. NVD: linux_kernel: >= 4.1, < 6.19.12; linux_kernel: 7.0. No confirmed fix for this CVE on the scanned 6.18 branch. A fix on a newer mainline branch alone does not establish safety here. https://www.cve.org/CVERecord?id=CVE-2026-43042"
CVE-2026-43045,False,linux,,(?:6\.18\.48|6\.18\.49),,,,"CVE-2026-43045: Linux CNA: 6.19.12 to <=6.19.* (unaffected); 7.0 to <=* (unaffected). Files: drivers/hv/mshv_regions.c. NVD: linux_kernel: >= 6.15, < 6.19.12; linux_kernel: 7.0. No confirmed fix for this CVE on the scanned 6.18 branch. A fix on a newer mainline branch alone does not establish safety here. https://www.cve.org/CVERecord?id=CVE-2026-43045"
CVE-2026-43053,False,linux,,(?:6\.18\.48|6\.18\.49),,,,"CVE-2026-43053: Linux CNA: 6.19.12 to <=6.19.* (unaffected); 7.0 to <=* (unaffected). Files: fs/xfs/xfs_attr_inactive.c. NVD: linux_kernel: >= 2.6.12.1, < 6.19.12; linux_kernel: 2.6.12; linux_kernel: 7.0. No confirmed fix for this CVE on the scanned 6.18 branch. A fix on a newer mainline branch alone does not establish safety here. https://www.cve.org/CVERecord?id=CVE-2026-43053"
CVE-2026-43095,False,linux,,(?:6\.18\.48|6\.18\.49),,,,"CVE-2026-43095: Linux CNA: 6.19.14 to <=6.19.* (unaffected); 7.0 to <=* (unaffected). Files: include/sound/sdca_interrupts.h, sound/soc/sdca/sdca_class_function.c, sound/soc/sdca/sdca_interrupts.c. NVD: linux_kernel: >= 6.17.1, < 6.19.14; linux_kernel: 6.17; linux_kernel: 7.0. No confirmed fix for this CVE on the scanned 6.18 branch. A fix on a newer mainline branch alone does not establish safety here. https://www.cve.org/CVERecord?id=CVE-2026-43095"
CVE-2026-43115,False,linux,,(?:6\.18\.48|6\.18\.49),,,,"CVE-2026-43115: Linux CNA: 6.19.14 to <=6.19.* (unaffected); 7.0 to <=* (unaffected). Files: include/linux/srcutiny.h, kernel/rcu/srcutiny.c. NVD: linux_kernel: >= 4.12, < 6.19.14; linux_kernel: 7.0. No confirmed fix for this CVE on the scanned 6.18 branch. A fix on a newer mainline branch alone does not establish safety here. https://www.cve.org/CVERecord?id=CVE-2026-43115"
CVE-2026-43174,False,linux,,(?:6\.18\.48|6\.18\.49),,,,"CVE-2026-43174: Linux CNA: 6.19.6 to <=6.19.* (unaffected); 7.0 to <=* (unaffected). Files: io_uring/zcrx.c. NVD: linux_kernel: >= 6.15, < 6.19.6. No confirmed fix for this CVE on the scanned 6.18 branch. A fix on a newer mainline branch alone does not establish safety here. https://www.cve.org/CVERecord?id=CVE-2026-43174"
CVE-2026-43191,False,linux,,(?:6\.18\.48|6\.18\.49),,,,"CVE-2026-43191: Linux CNA: 6.19.6 to <=6.19.* (unaffected); 7.0 to <=* (unaffected). Files: drivers/gpu/drm/amd/display/dc/hwss/dcn35/dcn35_hwseq.c, drivers/gpu/drm/amd/display/dc/hwss/dcn35/dcn35_hwseq.h, drivers/gpu/drm/amd/display/dc/hwss/dcn35/dcn35_init.c. NVD: linux_kernel: >= 6.7, < 6.19.6. No confirmed fix for this CVE on the scanned 6.18 branch. A fix on a newer mainline branch alone does not establish safety here. https://www.cve.org/CVERecord?id=CVE-2026-43191"
CVE-2026-43204,False,linux,,(?:6\.18\.48|6\.18\.49),,,,"CVE-2026-43204: Linux CNA: 6.19.6 to <=6.19.* (unaffected); 7.0 to <=* (unaffected). Files: sound/soc/qcom/qdsp6/q6asm.c. NVD: linux_kernel: >= 4.18, < 6.19.6. No confirmed fix for this CVE on the scanned 6.18 branch. A fix on a newer mainline branch alone does not establish safety here. https://www.cve.org/CVERecord?id=CVE-2026-43204"
CVE-2026-43228,False,linux,,(?:6\.18\.48|6\.18\.49),,,,"CVE-2026-43228: Linux CNA: 6.18 (affected); 0 to <6.18 (unaffected). Files: fs/hfs/dir.c, fs/hfs/hfs_fs.h, fs/hfs/inode.c, …. NVD: linux_kernel: >= 6.18, < 6.19.6. No confirmed fix for this CVE on the scanned 6.18 branch. A fix on a newer mainline branch alone does not establish safety here. https://www.cve.org/CVERecord?id=CVE-2026-43228"
CVE-2026-43299,False,linux,,(?:6\.18\.48|6\.18\.49),,,,"CVE-2026-43299: Linux CNA: 6.19.6 to <=6.19.* (unaffected); 7.0 to <=* (unaffected). Files: fs/btrfs/bio.c. NVD: linux_kernel: >= 3.13, < 6.19.6. No confirmed fix for this CVE on the scanned 6.18 branch. A fix on a newer mainline branch alone does not establish safety here. https://www.cve.org/CVERecord?id=CVE-2026-43299"
CVE-2026-43308,False,linux,,(?:6\.18\.48|6\.18\.49),,,,"CVE-2026-43308: Linux CNA: 6.19.6 to <=6.19.* (unaffected); 7.0 to <=* (unaffected). Files: fs/btrfs/extent-tree.c. NVD: linux_kernel: >= 2.6.31, < 6.19.6. No confirmed fix for this CVE on the scanned 6.18 branch. A fix on a newer mainline branch alone does not establish safety here. https://www.cve.org/CVERecord?id=CVE-2026-43308"
CVE-2026-43310,False,linux,,(?:6\.18\.48|6\.18\.49),,,,"CVE-2026-43310: Linux CNA: 6.19.6 to <=6.19.* (unaffected); 7.0 to <=* (unaffected). Files: drivers/media/platform/verisilicon/hantro.h, drivers/media/platform/verisilicon/hantro_drv.c, drivers/media/platform/verisilicon/imx8m_vpu_hw.c. NVD: linux_kernel: >= 5.14, < 6.19.6. No confirmed fix for this CVE on the scanned 6.18 branch. A fix on a newer mainline branch alone does not establish safety here. https://www.cve.org/CVERecord?id=CVE-2026-43310"
CVE-2026-43311,False,linux,,(?:6\.18\.48|6\.18\.49),,,,"CVE-2026-43311: Linux CNA: 6.19.6 to <=6.19.* (unaffected); 7.0 to <=* (unaffected). Files: drivers/soc/tegra/pmc.c. NVD: linux_kernel: >= 6.2, < 6.19.6. No confirmed fix for this CVE on the scanned 6.18 branch. A fix on a newer mainline branch alone does not establish safety here. https://www.cve.org/CVERecord?id=CVE-2026-43311"
CVE-2026-43326,False,linux,,(?:6\.18\.48|6\.18\.49),,,,"CVE-2026-43326: Linux CNA: 6.19.12 to <=6.19.* (unaffected); 7.0 to <=* (unaffected). Files: kernel/sched/ext.c, kernel/sched/sched.h. NVD: linux_kernel: >= 6.12, < 6.19.12; linux_kernel: 7.0. No confirmed fix for this CVE on the scanned 6.18 branch. A fix on a newer mainline branch alone does not establish safety here. https://www.cve.org/CVERecord?id=CVE-2026-43326"
CVE-2026-43344,False,linux,,(?:6\.18\.48|6\.18\.49),,,,"CVE-2026-43344: Linux CNA: 6.19.14 to <=6.19.* (unaffected); 7.0 to <=* (unaffected). Files: arch/x86/events/intel/uncore.c, arch/x86/events/intel/uncore_snbep.c. NVD: linux_kernel: >= 5.12, < 6.19.14; linux_kernel: 7.0. No confirmed fix for this CVE on the scanned 6.18 branch. A fix on a newer mainline branch alone does not establish safety here. https://www.cve.org/CVERecord?id=CVE-2026-43344"
CVE-2026-43391,False,linux,,(?:6\.18\.48|6\.18\.49),,,,"CVE-2026-43391: Linux CNA: 6.18 (affected); 0 to <6.18 (unaffected). Files: fs/nsfs.c. NVD: linux_kernel: >= 6.18, < 6.19.9; linux_kernel: 7.0. No confirmed fix for this CVE on the scanned 6.18 branch. A fix on a newer mainline branch alone does not establish safety here. https://www.cve.org/CVERecord?id=CVE-2026-43391"
CVE-2026-43414,False,linux,,(?:6\.18\.48|6\.18\.49),,,,"CVE-2026-43414: Linux CNA: 6.19.9 to <=6.19.* (unaffected); 7.0 to <=* (unaffected). Files: drivers/scsi/qla2xxx/qla_iocb.c. NVD: linux_kernel: >= 5.15.154, < 5.16; linux_kernel: >= 6.1.84, < 6.2; linux_kernel: >= 6.6.24, < 6.7 (additional branches in record). No confirmed fix for this CVE on the scanned 6.18 branch. A fix on a newer mainline branch alone does not establish safety here. https://www.cve.org/CVERecord?id=CVE-2026-43414"
CVE-2026-43443,False,linux,,(?:6\.18\.48|6\.18\.49),,,,"CVE-2026-43443: Linux CNA: 6.19.9 to <=6.19.* (unaffected); 7.0 to <=* (unaffected). Files: sound/soc/amd/acp/acp-mach-common.c. NVD: linux_kernel: >= 5.16, < 6.19.9; linux_kernel: 7.0. No confirmed fix for this CVE on the scanned 6.18 branch. A fix on a newer mainline branch alone does not establish safety here. https://www.cve.org/CVERecord?id=CVE-2026-43443"
CVE-2026-45961,False,linux,,(?:6\.18\.48|6\.18\.49),,,,"CVE-2026-45961: Linux CNA: 6.19.4 to <=6.19.* (unaffected); 7.0 to <=* (unaffected). Files: fs/gfs2/ops_fstype.c, fs/gfs2/super.c. NVD: linux_kernel: >= 5.10.173, < 5.11; linux_kernel: >= 5.15.99, < 5.16; linux_kernel: >= 6.1.16, < 6.2 (additional branches in record). No confirmed fix for this CVE on the scanned 6.18 branch. A fix on a newer mainline branch alone does not establish safety here. https://www.cve.org/CVERecord?id=CVE-2026-45961"
CVE-2026-45963,False,linux,6.18.48,,,,,CVE-2026-45963: sound/soc/codecs/nau8821.c. Linux CVE record marks 6.18.49 through 6.18.* unaffected; 6.18.48 predates that fix and remains active. https://cveawg.mitre.org/api/cve/CVE-2026-45963
CVE-2026-45963,True,linux,6.18.49,,,,https://cveawg.mitre.org/api/cve/CVE-2026-45963,CVE-2026-45963: sound/soc/codecs/nau8821.c. Linux CVE record explicitly marks 6.18.49 through 6.18.* unaffected. The NVD range misses this stable-branch fix; exemption is limited to reviewed 6.18.49. https://cveawg.mitre.org/api/cve/CVE-2026-45963
CVE-2026-45991,False,linux,,(?:6\.18\.48|6\.18\.49),,,,"CVE-2026-45991: Linux CNA: 7.0.4 to <=7.0.* (unaffected); 7.1 to <=* (unaffected). Files: fs/udf/super.c. NVD: linux_kernel: >= 4.18.7, < 4.19; linux_kernel: >= 4.19.1, < 6.6.140; linux_kernel: >= 6.7, < 6.12.88 (additional branches in record). No confirmed fix for this CVE on the scanned 6.18 branch. A fix on a newer mainline branch alone does not establish safety here. https://www.cve.org/CVERecord?id=CVE-2026-45991"
CVE-2026-46008,False,linux,,(?:6\.18\.48|6\.18\.49),,,,"CVE-2026-46008: Linux CNA: 7.0.4 to <=7.0.* (unaffected); 7.1 to <=* (unaffected). Files: include/linux/damon.h, mm/damon/core.c. NVD: linux_kernel: >= 6.14, < 7.0.4. No confirmed fix for this CVE on the scanned 6.18 branch. A fix on a newer mainline branch alone does not establish safety here. https://www.cve.org/CVERecord?id=CVE-2026-46008"
CVE-2026-46017,False,linux,,(?:6\.18\.48|6\.18\.49),,,,"CVE-2026-46017: Linux CNA: 7.0.4 to <=7.0.* (unaffected); 7.1 to <=* (unaffected). Files: mm/huge_memory.c, mm/migrate.c. NVD: linux_kernel: < 7.0.4. No confirmed fix for this CVE on the scanned 6.18 branch. A fix on a newer mainline branch alone does not establish safety here. https://www.cve.org/CVERecord?id=CVE-2026-46017"
CVE-2026-46032,False,linux,,(?:6\.18\.48|6\.18\.49),,,,"CVE-2026-46032: Linux CNA: 7.0.4 to <=7.0.* (unaffected); 7.1 to <=* (unaffected). Files: arch/x86/kvm/svm/nested.c, arch/x86/kvm/svm/svm.c, arch/x86/kvm/svm/svm.h. NVD: linux_kernel: >= 5.9, < 7.0.4. No confirmed fix for this CVE on the scanned 6.18 branch. A fix on a newer mainline branch alone does not establish safety here. https://www.cve.org/CVERecord?id=CVE-2026-46032"
CVE-2026-46153,False,linux,,(?:6\.18\.48|6\.18\.49),,,,"CVE-2026-46153: Linux CNA: 7.0.7 to <=7.0.* (unaffected); 7.1 to <=* (unaffected). Files: net/8021q/vlan_dev.c, net/8021q/vlan_netlink.c. NVD: linux_kernel: >= 2.6.12.1, < 7.0.7; linux_kernel: 2.6.12. No confirmed fix for this CVE on the scanned 6.18 branch. A fix on a newer mainline branch alone does not establish safety here. https://www.cve.org/CVERecord?id=CVE-2026-46153"
CVE-2026-46210,False,linux,,(?:6\.18\.48|6\.18\.49),,,,"CVE-2026-46210: Linux CNA: 6.18 (affected); 0 to <6.18 (unaffected). Files: drivers/media/platform/qcom/iris/iris_vdec.c, drivers/media/platform/qcom/iris/iris_vdec.h, drivers/media/platform/qcom/iris/iris_venc.c, …. NVD: linux_kernel: >= 6.18, < 7.0.9; linux_kernel: 7.1. No confirmed fix for this CVE on the scanned 6.18 branch. A fix on a newer mainline branch alone does not establish safety here. https://www.cve.org/CVERecord?id=CVE-2026-46210"
CVE-2026-46245,False,linux,,(?:6\.18\.48|6\.18\.49),,,,"CVE-2026-46245: Linux CNA: 6.19.4 to <=6.19.* (unaffected); 7.0 to <=* (unaffected). Files: drivers/gpu/drm/amd/display/amdgpu_dm/amdgpu_dm_irq.c. NVD: linux_kernel: >= 4.15, < 6.19.4. No confirmed fix for this CVE on the scanned 6.18 branch. A fix on a newer mainline branch alone does not establish safety here. https://www.cve.org/CVERecord?id=CVE-2026-46245"
CVE-2026-46302,False,linux,,(?:6\.18\.48|6\.18\.49),,,,"CVE-2026-46302: Linux CNA: 7.0.7 to <=7.0.* (unaffected); 7.1 to <=* (unaffected). Files: security/selinux/selinuxfs.c. NVD: linux_kernel: >= 2.6.37, < 7.0.7; linux_kernel: 7.1. No confirmed fix for this CVE on the scanned 6.18 branch. A fix on a newer mainline branch alone does not establish safety here. https://www.cve.org/CVERecord?id=CVE-2026-46302"
CVE-2026-46311,False,linux,,(?:6\.18\.48|6\.18\.49),,,,"CVE-2026-46311: Linux CNA: 7.0.9 to <=7.0.* (unaffected); 7.1 to <=* (unaffected). Files: drivers/gpu/drm/amd/amdgpu/mes_userqueue.c. NVD: linux_kernel: >= 6.16, < 7.0.9; linux_kernel: 7.1. No confirmed fix for this CVE on the scanned 6.18 branch. A fix on a newer mainline branch alone does not establish safety here. https://www.cve.org/CVERecord?id=CVE-2026-46311"
CVE-2026-46330,False,linux,,(?:6\.18\.48|6\.18\.49),,,,"CVE-2026-46330: Linux CNA: 6.19.4 to <=6.19.* (unaffected); 7.0 to <=* (unaffected). Files: net/smc/af_smc.c. NVD: linux_kernel: >= 5.17, < 6.19.4. No confirmed fix for this CVE on the scanned 6.18 branch. A fix on a newer mainline branch alone does not establish safety here. https://www.cve.org/CVERecord?id=CVE-2026-46330"
CVE-2026-52949,False,linux,,(?:6\.18\.48|6\.18\.49),,,,"CVE-2026-52949: Linux CNA: 7.0.10 to <=7.0.* (unaffected); 7.1 to <=* (unaffected). Files: drivers/gpu/drm/ttm/ttm_bo_util.c. NVD: linux_kernel: >= 6.15, < 7.0.10; linux_kernel: 7.1. No confirmed fix for this CVE on the scanned 6.18 branch. A fix on a newer mainline branch alone does not establish safety here. https://www.cve.org/CVERecord?id=CVE-2026-52949"
CVE-2026-52956,False,linux,,(?:6\.18\.48|6\.18\.49),,,,"CVE-2026-52956: Linux CNA: 7.0.10 to <=7.0.* (unaffected); 7.1 to <=* (unaffected). Files: net/ceph/auth_x.c. NVD: linux_kernel: >= 4.9.6, < 4.10; linux_kernel: >= 4.10, < 7.0.10; linux_kernel: 7.1. No confirmed fix for this CVE on the scanned 6.18 branch. A fix on a newer mainline branch alone does not establish safety here. https://www.cve.org/CVERecord?id=CVE-2026-52956"
CVE-2026-52960,False,linux,,(?:6\.18\.48|6\.18\.49),,,,"CVE-2026-52960: Linux CNA: 7.0.10 to <=7.0.* (unaffected); 7.1 to <=* (unaffected). Files: fs/ceph/addr.c. NVD: linux_kernel: >= 6.15, < 7.0.10; linux_kernel: 7.1. No confirmed fix for this CVE on the scanned 6.18 branch. A fix on a newer mainline branch alone does not establish safety here. https://www.cve.org/CVERecord?id=CVE-2026-52960"
CVE-2026-52965,False,linux,,(?:6\.18\.48|6\.18\.49),,,,"CVE-2026-52965: Linux CNA: 7.0.10 to <=7.0.* (unaffected); 7.1 to <=* (unaffected). Files: drivers/gpu/drm/ttm/ttm_bo.c, drivers/gpu/drm/ttm/ttm_resource.c, include/drm/ttm/ttm_resource.h. NVD: linux_kernel: >= 6.13, < 7.0.10; linux_kernel: 7.1. No confirmed fix for this CVE on the scanned 6.18 branch. A fix on a newer mainline branch alone does not establish safety here. https://www.cve.org/CVERecord?id=CVE-2026-52965"
